iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SLG","SL GREEN REALTY REIT CORP","Equity","0.17","96.92","40,137.00","3,890,078.04","3,890,078.04","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.17","33.62","115,571.00","3,885,497.02","3,885,497.02","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.17","31.46","121,741.00","3,829,971.86","3,829,971.86","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.17","24.77","153,883.00","3,811,681.91","3,811,681.91","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.16","58.11","63,905.00","3,713,519.55","3,713,519.55","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.16","113.94","31,361.00","3,573,272.34","3,573,272.34","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.15","606.15","5,724.00","3,469,602.60","3,469,602.60","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.15","203.18","16,918.00","3,437,399.24","3,437,399.24","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.15","146.19","23,194.00","3,390,730.86","3,390,730.86","Financials","B00JQL9","US82669G1040","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.15","112.80","29,740.00","3,354,672.00","3,354,672.00","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.15","202.40","16,366.00","3,312,478.40","3,312,478.40","Financials","B03Q9D0","US57060D1081","NASDAQ"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.14","84.61","38,045.00","3,218,987.45","3,218,987.45","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.14","79.71","40,082.00","3,194,936.22","3,194,936.22","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.14","160.61","19,644.00","3,155,022.84","3,155,022.84","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.13","17.94","169,367.00","3,038,443.98","3,038,443.98","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"LAZ","LAZARD LTD CLASS A","Equity","0.13","53.97","56,160.00","3,030,955.20","3,030,955.20","Financials","B081VQ7","BMG540501027","New York Stock Exchange Inc."
